env,dim,obstacles,max_steps,episodes,full_coverage_count,full_coverage_rate,average_coverage,coverage_std,min_coverage,average_steps,steps_std
5x5,5,3,50,100,80,80.0,97.13636363636364,10.97809614830014,4.545454545454546,36.46,8.90328029436342
5x5,5,3,100,100,93,93.0,97.9090909090909,11.104685929227214,4.545454545454546,40.26,20.259131274563575
5x5,5,3,150,100,97,97.0,98.95454545454545,9.509781827845638,4.545454545454546,40.0,22.792542640082964
5x5,5,3,200,100,97,97.0,98.95454545454545,9.509781827845638,4.545454545454546,43.2,31.232995373482833
5x5,5,3,250,100,96,96.0,98.86363636363636,9.542748534189556,4.545454545454546,47.62,44.93345746768214
5x5,5,3,300,100,97,97.0,98.95454545454545,9.509781827845638,4.545454545454546,45.86,48.99143190395643
10x10,10,12,400,100,76,76.0,98.42045454545455,6.030002038704204,52.27272727272727,263.59,96.61336294736871
10x10,10,12,600,100,74,74.0,98.4090909090909,6.201256204382841,47.72727272727273,341.97,175.60697338089966
10x10,10,12,800,100,83,83.0,99.38636363636364,2.553255093062174,81.81818181818183,346.53,227.2600033001848
10x10,10,12,1000,100,88,88.0,99.64772727272727,1.9062140119892435,81.81818181818183,365.62,271.4952957235171
10x10,10,12,1200,100,86,86.0,99.67045454545453,1.139710979021646,92.04545454545455,394.47,343.28662819865264
10x10,10,12,1500,100,89,89.0,99.80681818181817,0.7015147424568473,94.31818181818183,418.75,418.50178912401316
10x10,10,12,1800,100,90,90.0,99.8409090909091,0.643225986276586,94.31818181818183,431.81,478.86582035054454
10x10,10,12,2000,100,91,91.0,99.85227272727272,0.6358561287971713,94.31818181818183,451.81,514.2215416530116
10x10,10,12,2500,100,90,90.0,99.8409090909091,0.643225986276586,94.31818181818183,549.22,724.5811283769402
